l,l1,p,a,a1,u,u1,id
8. Schule,Ernst-Zinna-Schule -  Schule zur Lernförderung der Stadt Leipzig,4279,"Leipzig, Wincklerstraße 3",Wincklerstraße 3-5 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/8-GS,http://jedeschule.de/SN-4420352-0,SN-4420352-0
8. Schule,Ernst-Zinna-Schule -  Schule zur Lernförderung der Stadt Leipzig,4279,"Leipzig, Wincklerstraße 3",Wincklerstraße 3-5 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/8-GS,http://jedeschule.de/SN-4420352-0,SN-4420352-0
"Förderschule ""Werner Vogel""",Werner-Vogel-Schule Schule mit dem Förderschwerpunkt geistige Entwicklung  (Schule in freier Trägerschaft),4279,"Leipzig, Hans-Marchwitza-Straße 12",Hans-Marchwitza-Straße 12 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Vogel-Lernfoerderschule,http://jedeschule.de/SN-4420014-0,SN-4420014-0
"Förderschule ""Werner Vogel""",Werner-Vogel-Schule Schule mit dem Förderschwerpunkt geistige Entwicklung  (Schule in freier Trägerschaft),4279,"Leipzig, Hans-Marchwitza-Straße 12",Hans-Marchwitza-Straße 12 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Vogel-Lernfoerderschule,http://jedeschule.de/SN-4420014-0,SN-4420014-0
"Freie Grundschule ""Regenbogen""","Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4450532-0,SN-4450532-0
"Freie Grundschule ""Regenbogen""","Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4450532-0,SN-4450532-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,"Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4450532-0,SN-4450532-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,"Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4450532-0,SN-4450532-0
Karl-Schubert-Schule,"Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4450532-0,SN-4450532-0
Karl-Schubert-Schule,"Fachoberschule für Technik, Wirtschaft und Verwaltung, Gestaltung und Sozialwesen der DPFA-Schulen (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4450532-0,SN-4450532-0
