u,l,a,i
http://leipzig-data.de/Data/Schule/Koerner-GS,Theodor-Körner-Schule,http://leipzig-data.de/Data/04329.Leipzig.Schlehenweg.32,SN-4412409-0
http://leipzig-data.de/Data/Schule/Kroch-GS,Hans-Kroch-Schule,http://leipzig-data.de/Data/04157.Leipzig.Joergen-Schmidtchen-Weg.8,SN-4412706-0
http://leipzig-data.de/Data/Schule/LeipzigInternationalSchool,Leipzig International School e.V.,http://leipzig-data.de/Data/04229.Leipzig.Koenneritzstrasse.47,SN-4410023-0
http://leipzig-data.de/Data/Schule/LeipzigInternationalSchool,Leipzig International School e.V.,http://leipzig-data.de/Data/04229.Leipzig.Koenneritzstrasse.47,SN-4410023-1
http://leipzig-data.de/Data/Schule/LeipzigInternationalSchool,Leipzig International School e.V.,http://leipzig-data.de/Data/04229.Leipzig.Koenneritzstrasse.47,SN-4410023-2
http://leipzig-data.de/Data/Schule/Lessing-GS,Lessingschule,http://leipzig-data.de/Data/04109.Leipzig.Lessingstrasse.27,SN-4412268-0
http://leipzig-data.de/Data/Schule/Liebertwolkwitz-GS,Schule Liebertwolkwitz,http://leipzig-data.de/Data/04288.Leipzig.AmAngerteich.2,SN-4410403-0
http://leipzig-data.de/Data/Schule/Lindgren-GS,Astrid-Lindgren-Schule,http://leipzig-data.de/Data/04347.Leipzig.Volksgartenstrasse.16,SN-4412490-0
http://leipzig-data.de/Data/Schule/Linne-GS,Carl-von-Linné-Schule,http://leipzig-data.de/Data/04129.Leipzig.DelitzscherStrasse.110,SN-4411948-0
http://leipzig-data.de/Data/Schule/Mann-GS,Heinrich-Mann-Schule,http://leipzig-data.de/Data/04289.Leipzig.Schwarzenbergweg.4,SN-4412433-0
http://leipzig-data.de/Data/Schule/Mehring-GS,Franz-Mehring-Schule,http://leipzig-data.de/Data/04299.Leipzig.Gletschersteinstrasse.9,SN-4412078-0
http://leipzig-data.de/Data/Schule/Montessori-Schulzentrum,Bischöfliches Maria-Montessori-Schulzentrum Leipzig,http://leipzig-data.de/Data/04209.Leipzig.AlteSalzstrasse.61,SN-4412540-0
http://leipzig-data.de/Data/Schule/Montessori-Schulzentrum,Bischöfliches Maria-Montessori-Schulzentrum Leipzig,http://leipzig-data.de/Data/04209.Leipzig.AlteSalzstrasse.61,SN-4431441-0
http://leipzig-data.de/Data/Schule/Montessori-Schulzentrum,Bischöfliches Maria-Montessori-Schulzentrum Leipzig,http://leipzig-data.de/Data/04209.Leipzig.AlteSalzstrasse.61,SN-4440590-0
http://leipzig-data.de/Data/Schule/NaSch,Nachbarschaftsschule,http://leipzig-data.de/Data/04177.Leipzig.Gemeindeamtsstrasse.8,SN-4412052-0
